card_id,card_name,card_type,cost,camp,faction,rarity,max_copies_in_deck,art_id,effect_id,description_key
CARD_001,刘备,Unit,1,Player,Shu,Rare,1,CARD_001,,player_hero
CARD_002,关羽,Unit,1,Player,Shu,Rare,1,CARD_002,,player_hero
CARD_003,张飞,Unit,1,Player,Shu,Rare,1,CARD_003,,player_hero
CARD_004,盾牌兵,Unit,1,Player,Shu,Common,99,CARD_004,,player_soldier
CARD_005,弓箭手,Unit,1,Player,Shu,Common,99,CARD_005,,player_soldier
CARD_006,曹操,Unit,2,Enemy,Wei,Rare,1,CARD_006,,enemy_hero
CARD_007,夏侯惇,Unit,2,Enemy,Wei,Rare,1,CARD_007,,enemy_hero
CARD_008,曹仁,Unit,2,Enemy,Wei,Rare,1,CARD_008,,enemy_hero
CARD_009,刀兵,Unit,1,Enemy,Wei,Common,99,CARD_009,,enemy_soldier
CARD_010,骑兵,Unit,1,Enemy,Wei,Common,99,CARD_010,,enemy_soldier
