effect_id,effect_name,timing,effect_type,target_rule,value,secondary_value,tags,description
EFFECT_LB_001,仁德,OnPlay,Heal,AllyFrontSameRow,3,0,HeroSkill|Shu,上阵时治疗同军最前方友方3点
EFFECT_GY_001,武圣,OnAttack,BonusDamage,CurrentTarget,2,0,HeroSkill|Shu,攻击时额外造成2点伤害
EFFECT_ZF_001,咆哮,OnDamaged,Damage,Attacker,2,0,HeroSkill|Shu,受击时反击攻击者2点伤害
EFFECT_CC_001,魏武号令,OnPlay,BuffAttack,AllyAllSameRow,1,0,HeroSkill|Wei,上阵时同军所有敌方单位攻击+1
EFFECT_XHD_001,刚烈,OnDamaged,BuffAttack,Self,1,0,HeroSkill|Wei,每次受击后攻击力+1
EFFECT_CR_001,固守,BeforeDamaged,DamageCap,Self,4,0,HeroSkill|Wei,每次受到伤害时最多只受到4点伤害
EFFECT_ZY_001,龙胆,OnPlay,GainShield,Self,2,0,HeroSkill|Shu|Shield,上阵时获得2层护盾，每层可抵挡一次敌方攻击
EFFECT_MC_001,铁骑横扫,OnAttack,ReplaceAttack,EnemyAllSameRow,2,0,HeroSkill|Shu|AreaAttack,攻击对方当前军的所有单位
EFFECT_PLAN_001,滚石,OnPlay,Damage,EnemySingle,3,0,Plan|Damage,对该单位造成3点伤害
EFFECT_PLAN_002,齐射,OnPlay,Damage,EnemyRow,1,0,Plan|Damage|Area,对敌方当前军的所有单位造成1点伤害
EFFECT_PLAN_004,强化,OnPlay,BuffAttackAndMaxHp,AllySingle,2,2,Plan|Buff,使该单位获得+2攻击力、+2最大血量
EFFECT_PLAN_005,加固,OnPlay,GainShield,AllySingle,1,0,Plan|Shield,使该单位获得护盾1
EFFECT_PLAN_008,斩杀,OnPlay,DamageGainEnergyOnKill,EnemySingle,1,1,Plan|Damage|Energy,造成1点伤害，若直接击杀目标单位，增加1点可使用费用
EFFECT_PLAN_009,草船借箭,OnPlay,DrawCards,NoTarget,2,0,Plan|Draw,抽两张牌
